Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Elizabeth Sy,2.4,Philippines,diversified,1299,68,"Manila, Philippines",Philippines,,,"Bachelor of Science, Maryknoll College",FALSE
Tony Tan Caktiong & family,2.4,Philippines,food,1299,68,"Manila, Philippines",Philippines,Married,3,,TRUE
Tang Jinkui & family,2.4,China,"textiles, petrochemicals",1299,65,"Suzhou, China",China,Married,,,TRUE
Roman Trotsenko,2.4,Russia,"transport, engineering, real estate",1299,50,"Moscow, Russia",Russia,Married,2,"Master of Laws, Moscow State University",TRUE
Donald Trump,2.4,United States,real estate,1299,74,"Palm Beach, Florida",United States,Married,5,"Fordham University; Bachelor of Arts/Science, University of Pennsylvania",FALSE
T.Y. Tsai,2.4,Taiwan,finance,1299,68,"Taipei, Taiwan",Taiwan,Married,1,"EMBA, National Taiwan University; Bachelor of Arts/Science, Tokai University",FALSE
John Tyson,2.4,United States,food processing,1299,67,"Springdale, Arkansas",United States,Single,2,"Bachelor of Arts/Science, Southern Methodist University",FALSE
David Wertheim,2.4,Israel,Coca Cola Israel,1299,63,Israel,Israel,Married,6,,FALSE
Xiong Shaoming,2.4,China,e-cigarettes,1299,50,"Shenzhen, China",China,,,"Bachelor of Science, Wuhan University of Technology",TRUE
Yang Jianliang & family,2.4,China,machinery,1299,51,"Wuxi, China",China,Married,,,TRUE
Michael Ying,2.4,Hong Kong,retail,1299,71,"Hong Kong, Hong Kong",Hong Kong,Married,3,,TRUE
Zhang Ning & family,2.4,Canada,chemicals,1299,47,"Shanghai, China",Canada,,,,TRUE
Zhang Zhixiang,2.4,China,steel,1299,54,"Beijing, China",China,,,"Doctorate, Zhejiang University of Technology",TRUE
Zhao Hongfei,2.4,China,software,1299,46,"Beijing, China",China,,,,TRUE
Bill and Jean Adderley & family,2.3,United Kingdom,home furnishings,1362,73,"Leicester, United Kingdom",United Kingdom,Married,2,,TRUE
Bill Alfond,2.3,United States,shoes,1362,72,"Boston, Massachusetts",United States,Married,3,,FALSE
Susan Alfond,2.3,United States,shoes,1362,75,"Scarborough, Maine",United States,,3,,FALSE
Ted Alfond,2.3,United States,shoes,1362,76,"Weston, Massachusetts",United States,Married,3,,FALSE
Carlos Ardila Lülle,2.3,Colombia,"soft drinks, diversified",1362,90,"Bogota, Colombia",Colombia,Married,,"Bachelor of Engineering, Universidad Nacional de Colombia",TRUE
